Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
540526,IRB InvIT Fund,IRBINVIT,IRB InvIT Fund,Active,IF,0.00,INE183W23014,Road Assets–Toll- Annuity- Hybrid-Annuity,Equity,Services,Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity"
540565,India Grid Trust,INDIGRID,India Grid Trust,Active,IF,0.00,INE219X23014,Power - Transmission,Equity,Utilities,Power,Power,Power - Transmission
541300,IndInfravit Trust,INDINFR,IndInfravit Trust,Active,IF,0.00,INE790Z23019,Road Assets–Toll- Annuity- Hybrid-Annuity,Equity,Services,Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity"
542543,India Infrastructure Trust,INFRATRUST,India Infrastructure Trust,Active,IF,0.00,INE05KD23015,Gas Transmission/Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Gas Transmission/Marketing
542602,Embassy Office Parks REIT,EMBASSY,Embassy Office Parks REIT,Active,IF,0.00,INE041025011,Real Estate Investment Trusts (REITs),Equity,Consumer Discretionary,Realty,Realty,Real Estate Investment Trusts (REITs)
543217,Mindspace Business Parks REIT,MINDSPACE,Mindspace Business Parks REIT,Active,IF,0.00,INE0CCU25019,Real Estate Investment Trusts (REITs),Equity,Consumer Discretionary,Realty,Realty,Real Estate Investment Trusts (REITs)
543225,Data Infrastructure Trust,DATAINFRA,Data Infrastructure Trust,Active,IF,0.00,INE0BWS23018,Telecom - Infrastructure,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
543261,Brookfield India Real Estate Trust,BIRET,Brookfield India Real Estate Trust REIT,Active,IF,0.00,INE0FDU25010,Real Estate Investment Trusts (REITs),Equity,Consumer Discretionary,Realty,Realty,Real Estate Investment Trusts (REITs)
543290,POWERGRID Infrastructure Investment Trust,PGINVIT,POWERGRID Infrastructure Investment Trust,Active,IF,0.00,INE0GGX23010,Power - Transmission,Equity,Utilities,Power,Power,Power - Transmission
543385,National Highways Infra Trust,NHIT,National Highways Infra Trust,Active,IF,0.00,INE0H7R23014,Road Assets–Toll- Annuity- Hybrid-Annuity,Equity,Services,Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity"
543655,Anzen India Energy Yield Plus Trust,ANZEN,Anzen India Energy Yield Plus Trust,Active,IF,0.00,INE0MIZ23019,Power - Transmission,Equity,Utilities,Power,Power,Power - Transmission
543859,Digital Fibre Infrastructure Trust,DIGIFIBRE,Digital Fibre Infrastructure Trust,Active,IF,0.00,INE0CDI23017,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
543899,Cube Highways Trust,CUBEINVIT,Cube Highways Trust,Active,IF,0.00,INE0NR623014,Road Assets–Toll- Annuity- Hybrid-Annuity,Equity,Services,Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity"
543913,Nexus Select Trust,NXST,Nexus Select Trust,Active,IF,0.00,INE0NDH25011,Real Estate Investment Trusts (REITs),Equity,Consumer Discretionary,Realty,Realty,Real Estate Investment Trusts (REITs)
543925,Indian Highway Concessions Trust,IHCT,Indian Highway Concessions Trust,Active,IF,0.00,INE0M5S23019,Road Assets–Toll- Annuity- Hybrid-Annuity,Equity,Services,Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity"
544005,Intelligent Supply Chain Infrastructure Trust,ISCITRUST,Intelligent Supply Chain Infrastructure Trust,Active,IF,0.00,INE0QSW23016,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
544137,Bharat Highways InvIT,BHINVIT,Bharat Highways InvIT,Active,IF,0.00,INE0NHL23019,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
